Amount,Average,Candidates,Chamber,District,State,Year
"$127,096","$63,548",2,House of Representatives,15,Alabama,2010
"$3,130","$3,130",1,House of Representatives,15,Alabama,2008
"$109,542","$36,514",3,House of Representatives,15,Alabama,2006
"$48,125","$48,125",1,House of Representatives,15,Alabama,2002
"$425,252","$38,659",11,House of Representatives,15,Alabama,Total
"$137,962","$68,981",2,House of Representatives,16,Alabama,2018
"$344,632","$114,877",3,House of Representatives,16,Alabama,2014
"$59,400","$59,400",1,House of Representatives,16,Alabama,2012
"$233,244","$116,622",2,House of Representatives,16,Alabama,2010
"$1,050","$1,050",1,House of Representatives,16,Alabama,2008
"$66,938","$66,938",1,House of Representatives,16,Alabama,2006
"$175,544","$58,515",3,House of Representatives,16,Alabama,2002
"$1,018,770","$78,367",13,House of Representatives,16,Alabama,Total
"$206,626","$68,875",3,House of Representatives,17,Alabama,2018
"$226,659","$75,553",3,House of Representatives,17,Alabama,2014
"$70,650","$70,650",1,House of Representatives,17,Alabama,2010
"$201,651","$100,826",2,House of Representatives,17,Alabama,2006
"$238,363","$79,454",3,House of Representatives,17,Alabama,2002
"$943,949","$78,662",12,House of Representatives,17,Alabama,Total
"$326,529","$108,843",3,House of Representatives,18,Alabama,2018
"$354,671","$177,336",2,House of Representatives,18,Alabama,2014
"$26,750","$26,750",1,House of Representatives,18,Alabama,2012
"$280,297","$140,149",2,House of Representatives,18,Alabama,2010
"$2,000","$2,000",1,House of Representatives,18,Alabama,2008
"$127,090","$63,545",2,House of Representatives,18,Alabama,2006
"$106,922","$53,461",2,House of Representatives,18,Alabama,2002
"$1,224,259","$94,174",13,House of Representatives,18,Alabama,Total
"$132,871","$66,435",2,House of Representatives,19,Alabama,2018
"$67,334","$33,667",2,House of Representatives,19,Alabama,2014
"$4,211","$4,211",1,House of Representatives,19,Alabama,2012
"$99,812","$99,812",1,House of Representatives,19,Alabama,2010
$750,$750,1,House of Representatives,19,Alabama,2008
"$43,500","$43,500",1,House of Representatives,19,Alabama,2006
"$85,345","$28,448",3,House of Representatives,19,Alabama,2002
"$433,823","$39,438",11,House of Representatives,19,Alabama,Total
"$174,980","$87,490",2,House of Representatives,20,Alabama,2018
"$56,987","$56,987",1,House of Representatives,20,Alabama,2014
$6,$6,1,House of Representatives,20,Alabama,2012
"$112,843","$37,614",3,House of Representatives,20,Alabama,2010
"$3,461","$3,461",1,House of Representatives,20,Alabama,2008
"$43,108","$43,108",1,House of Representatives,20,Alabama,2006
"$119,816","$59,908",2,House of Representatives,20,Alabama,2002
"$511,201","$46,473",11,House of Representatives,20,Alabama,Total
"$325,920","$108,640",3,House of Representatives,21,Alabama,2014
"$28,767","$28,767",1,House of Representatives,21,Alabama,2012
"$377,281","$188,641",2,House of Representatives,21,Alabama,2010
"$-4,355","$-4,355",1,House of Representatives,21,Alabama,2008
"$186,716","$93,358",2,House of Representatives,21,Alabama,2006
"$172,397","$43,099",4,House of Representatives,21,Alabama,2002
"$1,086,726","$83,594",13,House of Representatives,21,Alabama,Total
"$121,098","$60,549",2,House of Representatives,22,Alabama,2018
"$420,183","$140,061",3,House of Representatives,22,Alabama,2014
"$5,404","$5,404",1,House of Representatives,22,Alabama,2012
"$349,637","$116,546",3,House of Representatives,22,Alabama,2010
"$90,810","$90,810",1,House of Representatives,22,Alabama,2008
"$123,132","$61,566",2,House of Representatives,22,Alabama,2006
"$88,634","$44,317",2,House of Representatives,22,Alabama,2002
"$1,198,898","$85,636",14,House of Representatives,22,Alabama,Total
"$32,576","$32,576",1,House of Representatives,23,Alabama,2018
"$241,406","$80,469",3,House of Representatives,23,Alabama,2014
"$4,068","$4,068",1,House of Representatives,23,Alabama,2012
"$55,328","$55,328",1,House of Representatives,23,Alabama,2010
"$2,212","$2,212",1,House of Representatives,23,Alabama,2008
"$54,000","$54,000",1,House of Representatives,23,Alabama,2006
"$42,150","$42,150",1,House of Representatives,23,Alabama,2002
"$431,740","$47,971",9,House of Representatives,23,Alabama,Total
"$137,158","$137,158",1,House of Representatives,24,Alabama,2018
"$463,609","$154,536",3,House of Representatives,24,Alabama,2014
"$5,000","$5,000",1,House of Representatives,24,Alabama,2012
"$320,059","$160,030",2,House of Representatives,24,Alabama,2010
"$8,941","$8,941",1,House of Representatives,24,Alabama,2008
"$60,549","$60,549",1,House of Representatives,24,Alabama,2006
"$176,778","$58,926",3,House of Representatives,24,Alabama,2002
"$1,172,094","$97,674",12,House of Representatives,24,Alabama,Total
"$299,616","$299,616",1,House of Representatives,25,Alabama,2018
"$231,771","$231,771",1,House of Representatives,25,Alabama,2014
"$4,348","$4,348",1,House of Representatives,25,Alabama,2012
"$36,849","$36,849",1,House of Representatives,25,Alabama,2010
"$3,185","$3,185",1,House of Representatives,25,Alabama,2008
"$139,271","$69,636",2,House of Representatives,25,Alabama,2006
"$133,169","$33,292",4,House of Representatives,25,Alabama,2002
"$848,209","$77,110",11,House of Representatives,25,Alabama,Total
"$95,589","$95,589",1,House of Representatives,26,Alabama,2018
"$197,594","$98,797",2,House of Representatives,26,Alabama,2014
"$3,750","$3,750",1,House of Representatives,26,Alabama,2012
"$332,158","$47,451",7,House of Representatives,26,Alabama,2010
"$5,506","$5,506",1,House of Representatives,26,Alabama,2008
"$126,926","$63,463",2,House of Representatives,26,Alabama,2006
"$90,548","$45,274",2,House of Representatives,26,Alabama,2002
"$852,071","$53,254",16,House of Representatives,26,Alabama,Total
"$149,263","$49,754",3,House of Representatives,27,Alabama,2018
"$419,396","$209,698",2,House of Representatives,27,Alabama,2014
$-850,$-850,1,House of Representatives,27,Alabama,2012
"$264,111","$88,037",3,House of Representatives,27,Alabama,2010
"$22,477","$7,492",3,House of Representatives,27,Alabama,2002
"$854,397","$71,200",12,House of Representatives,27,Alabama,Total
"$149,854","$49,951",3,House of Representatives,28,Alabama,2018
"$492,082","$246,041",2,House of Representatives,28,Alabama,2014
$855,$855,1,House of Representatives,28,Alabama,2012
"$266,481","$266,481",1,House of Representatives,28,Alabama,2010
"$-2,800","$-2,800",1,House of Representatives,28,Alabama,2008
"$260,409","$130,205",2,House of Representatives,28,Alabama,2006
"$210,156","$105,078",2,House of Representatives,28,Alabama,2002
"$1,377,037","$114,753",12,House of Representatives,28,Alabama,Total
"$142,028","$71,014",2,House of Representatives,29,Alabama,2018
"$271,616","$135,808",2,House of Representatives,29,Alabama,2014
"$2,435","$2,435",1,House of Representatives,29,Alabama,2012
"$194,110","$97,055",2,House of Representatives,29,Alabama,2010
"$18,750","$18,750",1,House of Representatives,29,Alabama,2008
"$258,136","$129,068",2,House of Representatives,29,Alabama,2006
"$162,314","$54,105",3,House of Representatives,29,Alabama,2002
"$1,049,389","$80,722",13,House of Representatives,29,Alabama,Total
"$265,554","$53,111",5,House of Representatives,30,Alabama,2018
"$365,030","$182,515",2,House of Representatives,30,Alabama,2014
"$118,639","$39,546",3,House of Representatives,30,Alabama,2012
"$306,498","$102,166",3,House of Representatives,30,Alabama,2010
"$-17,400","$-17,400",1,House of Representatives,30,Alabama,2008
"$90,950","$90,950",1,House of Representatives,30,Alabama,2006
"$57,370","$57,370",1,House of Representatives,30,Alabama,2002
"$1,186,641","$74,165",16,House of Representatives,30,Alabama,Total
"$194,425","$97,212",2,House of Representatives,31,Alabama,2018
"$52,902","$52,902",1,House of Representatives,31,Alabama,2014
"$47,290","$47,290",1,House of Representatives,31,Alabama,2010
"$57,557","$57,557",1,House of Representatives,31,Alabama,2006
"$19,135","$6,378",3,House of Representatives,31,Alabama,2002
"$371,309","$46,414",8,House of Representatives,31,Alabama,Total
"$90,634","$22,658",4,House of Representatives,32,Alabama,2018
"$63,261","$31,631",2,House of Representatives,32,Alabama,2014
"$5,800","$5,800",1,House of Representatives,32,Alabama,2012
"$59,525","$29,763",2,House of Representatives,32,Alabama,2010
"$1,850","$1,850",1,House of Representatives,32,Alabama,2008
"$64,489","$32,245",2,House of Representatives,32,Alabama,2006
"$95,438","$47,719",2,House of Representatives,32,Alabama,2002
"$380,997","$27,214",14,House of Representatives,32,Alabama,Total
"$169,313","$56,438",3,House of Representatives,33,Alabama,2018
"$108,474","$54,237",2,House of Representatives,33,Alabama,2014
$500,$500,1,House of Representatives,33,Alabama,2012
"$64,200","$64,200",1,House of Representatives,33,Alabama,2010
"$124,253","$62,127",2,House of Representatives,33,Alabama,2006
"$104,267","$52,134",2,House of Representatives,33,Alabama,2002
"$571,007","$51,910",11,House of Representatives,33,Alabama,Total
"$70,809","$70,809",1,House of Representatives,34,Alabama,2018
"$84,910","$84,910",1,House of Representatives,34,Alabama,2014
"$144,290","$24,048",6,House of Representatives,34,Alabama,2012
"$37,250","$37,250",1,House of Representatives,34,Alabama,2010
"$2,000","$2,000",1,House of Representatives,34,Alabama,2008
"$86,087","$43,044",2,House of Representatives,34,Alabama,2006
"$82,495","$20,624",4,House of Representatives,34,Alabama,2002
"$507,841","$31,740",16,House of Representatives,34,Alabama,Total
"$36,681","$36,681",1,House of Representatives,35,Alabama,2018
"$265,213","$88,404",3,House of Representatives,35,Alabama,2014
"$2,700","$2,700",1,House of Representatives,35,Alabama,2012
"$358,827","$89,707",4,House of Representatives,35,Alabama,2010
$168,$168,1,House of Representatives,35,Alabama,2008
"$106,009","$53,005",2,House of Representatives,35,Alabama,2006
"$145,219","$72,610",2,House of Representatives,35,Alabama,2002
"$914,817","$65,344",14,House of Representatives,35,Alabama,Total
"$117,552","$58,776",2,House of Representatives,36,Alabama,2018
"$63,200","$63,200",1,House of Representatives,36,Alabama,2014
"$175,100","$58,367",3,House of Representatives,36,Alabama,2010
"$20,400","$20,400",1,House of Representatives,36,Alabama,2008
"$122,625","$122,625",1,House of Representatives,36,Alabama,2006
"$128,167","$32,042",4,House of Representatives,36,Alabama,2002
"$627,044","$52,254",12,House of Representatives,36,Alabama,Total
"$103,090","$51,545",2,House of Representatives,37,Alabama,2018
"$284,757","$71,189",4,House of Representatives,37,Alabama,2014
"$5,939","$5,939",1,House of Representatives,37,Alabama,2012
"$153,791","$51,264",3,House of Representatives,37,Alabama,2010
"$136,706","$68,353",2,House of Representatives,37,Alabama,2006
"$62,278","$31,139",2,House of Representatives,37,Alabama,2002
"$746,561","$53,326",14,House of Representatives,37,Alabama,Total
"$322,615","$80,654",4,House of Representatives,38,Alabama,2018
"$253,455","$126,728",2,House of Representatives,38,Alabama,2014
$-80,$-80,1,House of Representatives,38,Alabama,2012
"$203,427","$101,714",2,House of Representatives,38,Alabama,2010
"$5,774","$5,774",1,House of Representatives,38,Alabama,2008
"$286,957","$95,652",3,House of Representatives,38,Alabama,2006
"$89,866","$44,933",2,House of Representatives,38,Alabama,2002
"$1,162,014","$77,468",15,House of Representatives,38,Alabama,Total
"$246,297","$123,149",2,House of Representatives,39,Alabama,2018
"$137,231","$68,616",2,House of Representatives,39,Alabama,2014
"$3,200","$3,200",1,House of Representatives,39,Alabama,2012
"$323,772","$161,886",2,House of Representatives,39,Alabama,2010
"$4,567","$4,567",1,House of Representatives,39,Alabama,2008
"$203,575","$203,575",1,House of Representatives,39,Alabama,2006
"$68,100","$68,100",1,House of Representatives,39,Alabama,2002
"$986,742","$98,674",10,House of Representatives,39,Alabama,Total
"$83,867","$41,934",2,House of Representatives,40,Alabama,2018
"$85,129","$28,376",3,House of Representatives,40,Alabama,2014
"$230,902","$76,967",3,House of Representatives,40,Alabama,2010
"$8,693","$8,693",1,House of Representatives,40,Alabama,2008
"$208,861","$104,431",2,House of Representatives,40,Alabama,2006
"$89,013","$29,671",3,House of Representatives,40,Alabama,2002
"$706,465","$50,462",14,House of Representatives,40,Alabama,Total
"$90,935","$45,468",2,House of Representatives,41,Alabama,2018
"$142,924","$142,924",1,House of Representatives,41,Alabama,2014
"$7,280","$7,280",1,House of Representatives,41,Alabama,2012
"$146,330","$73,165",2,House of Representatives,41,Alabama,2010
"$13,349","$13,349",1,House of Representatives,41,Alabama,2008
"$110,940","$110,940",1,House of Representatives,41,Alabama,2006
"$139,112","$69,556",2,House of Representatives,41,Alabama,2002
"$650,870","$65,087",10,House of Representatives,41,Alabama,Total
"$124,035","$31,009",4,House of Representatives,42,Alabama,2019
"$124,335","$62,167",2,House of Representatives,42,Alabama,2018
"$369,185","$184,593",2,House of Representatives,42,Alabama,2014
"$312,208","$156,104",2,House of Representatives,42,Alabama,2010
$486,$486,1,House of Representatives,42,Alabama,2008
"$177,485","$88,743",2,House of Representatives,42,Alabama,2006
"$117,045","$58,523",2,House of Representatives,42,Alabama,2002
"$1,224,778","$81,652",15,House of Representatives,42,Alabama,Total
"$14,156","$14,156",1,House of Representatives,43,Alabama,2018
"$520,975","$74,425",7,House of Representatives,43,Alabama,2014
"$2,004","$2,004",1,House of Representatives,43,Alabama,2012
"$181,960","$60,653",3,House of Representatives,43,Alabama,2010
"$4,682","$4,682",1,House of Representatives,43,Alabama,2008
"$107,331","$53,666",2,House of Representatives,43,Alabama,2006
"$8,835","$8,835",1,House of Representatives,43,Alabama,2002
"$839,943","$52,496",16,House of Representatives,43,Alabama,Total
"$37,500","$37,500",1,House of Representatives,44,Alabama,2018
"$238,161","$79,387",3,House of Representatives,44,Alabama,2014
"$1,500","$1,500",1,House of Representatives,44,Alabama,2012
"$74,800","$74,800",1,House of Representatives,44,Alabama,2010
"$1,346","$1,346",1,House of Representatives,44,Alabama,2008
"$106,155","$53,078",2,House of Representatives,44,Alabama,2006
"$63,538","$63,538",1,House of Representatives,44,Alabama,2002
"$523,000","$52,300",10,House of Representatives,44,Alabama,Total
"$311,788","$103,929",3,House of Representatives,45,Alabama,2018
"$20,350","$20,350",1,House of Representatives,45,Alabama,2014
"$209,988","$209,988",1,House of Representatives,45,Alabama,2012
"$171,110","$57,037",3,House of Representatives,45,Alabama,2010
"$206,224","$68,741",3,House of Representatives,45,Alabama,2006
"$149,930","$49,977",3,House of Representatives,45,Alabama,2002
"$1,069,390","$76,385",14,House of Representatives,45,Alabama,Total
"$131,795","$131,795",1,House of Representatives,46,Alabama,2018
"$431,686","$107,922",4,House of Representatives,46,Alabama,2014
"$7,273","$7,273",1,House of Representatives,46,Alabama,2012
"$136,865","$136,865",1,House of Representatives,46,Alabama,2010
"$6,973","$6,973",1,House of Representatives,46,Alabama,2008
"$171,540","$171,540",1,House of Representatives,46,Alabama,2006
"$148,493","$49,498",3,House of Representatives,46,Alabama,2002
"$1,034,625","$86,219",12,House of Representatives,46,Alabama,Total
"$211,698","$105,849",2,House of Representatives,47,Alabama,2018
"$700,211","$233,404",3,House of Representatives,47,Alabama,2014
"$19,146","$19,146",1,House of Representatives,47,Alabama,2012
"$491,420","$245,710",2,House of Representatives,47,Alabama,2010
"$6,900","$6,900",1,House of Representatives,47,Alabama,2008
"$214,047","$107,024",2,House of Representatives,47,Alabama,2006
"$57,842","$57,842",1,House of Representatives,47,Alabama,2002
"$1,701,264","$141,772",12,House of Representatives,47,Alabama,Total
"$263,928","$87,976",3,House of Representatives,48,Alabama,2018
"$40,450","$40,450",1,House of Representatives,48,Alabama,2014
"$148,582","$148,582",1,House of Representatives,48,Alabama,2012
"$86,824","$86,824",1,House of Representatives,48,Alabama,2010
"$2,010","$2,010",1,House of Representatives,48,Alabama,2008
"$316,397","$63,279",5,House of Representatives,48,Alabama,2006
"$91,135","$45,568",2,House of Representatives,48,Alabama,2002
"$949,326","$67,809",14,House of Representatives,48,Alabama,Total
"$247,207","$123,603",2,House of Representatives,49,Alabama,2018
"$130,933","$130,933",1,House of Representatives,49,Alabama,2014
"$19,150","$19,150",1,House of Representatives,49,Alabama,2012
"$169,943","$42,486",4,House of Representatives,49,Alabama,2010
"$3,877","$3,877",1,House of Representatives,49,Alabama,2008
"$114,572","$114,572",1,House of Representatives,49,Alabama,2006
"$100,792","$50,396",2,House of Representatives,49,Alabama,2002
"$786,474","$65,539",12,House of Representatives,49,Alabama,Total
"$48,289","$48,289",1,House of Representatives,50,Alabama,2018
"$36,001","$36,001",1,House of Representatives,50,Alabama,2014
"$-7,485","$-7,485",1,House of Representatives,50,Alabama,2012
"$133,149","$133,149",1,House of Representatives,50,Alabama,2010
$-621,$-621,1,House of Representatives,50,Alabama,2008
"$126,117","$126,117",1,House of Representatives,50,Alabama,2006
"$239,440","$47,888",5,House of Representatives,50,Alabama,2002
"$574,890","$52,263",11,House of Representatives,50,Alabama,Total
"$57,971","$28,985",2,House of Representatives,51,Alabama,2018
"$14,200","$14,200",1,House of Representatives,51,Alabama,2014
"$35,400","$35,400",1,House of Representatives,51,Alabama,2010
"$139,056","$34,764",4,House of Representatives,51,Alabama,2006
"$83,281","$27,760",3,House of Representatives,51,Alabama,2002
"$329,908","$29,992",11,House of Representatives,51,Alabama,Total
"$190,809","$63,603",3,House of Representatives,52,Alabama,2014
"$219,729","$109,865",2,House of Representatives,52,Alabama,2010
"$6,000","$6,000",1,House of Representatives,52,Alabama,2008
"$95,150","$95,150",1,House of Representatives,52,Alabama,2006
"$93,215","$93,215",1,House of Representatives,52,Alabama,2002
"$604,903","$75,613",8,House of Representatives,52,Alabama,Total
"$199,848","$199,848",1,House of Representatives,53,Alabama,2018
"$101,507","$50,754",2,House of Representatives,53,Alabama,2014
"$103,177","$51,589",2,House of Representatives,53,Alabama,2010
"$71,620","$71,620",1,House of Representatives,53,Alabama,2006
"$118,540","$39,513",3,House of Representatives,53,Alabama,2002
"$594,692","$66,077",9,House of Representatives,53,Alabama,Total
"$152,780","$50,927",3,House of Representatives,54,Alabama,2018
"$129,500","$43,167",3,House of Representatives,54,Alabama,2014
"$2,505","$2,505",1,House of Representatives,54,Alabama,2012
"$47,459","$47,459",1,House of Representatives,54,Alabama,2010
"$2,359","$2,359",1,House of Representatives,54,Alabama,2008
"$304,054","$60,811",5,House of Representatives,54,Alabama,2006
"$56,000","$56,000",1,House of Representatives,54,Alabama,2002
"$694,657","$46,310",15,House of Representatives,54,Alabama,Total
"$156,514","$52,171",3,House of Representatives,55,Alabama,2018
"$144,400","$72,200",2,House of Representatives,55,Alabama,2014
"$1,532","$1,532",1,House of Representatives,55,Alabama,2012
"$67,899","$67,899",1,House of Representatives,55,Alabama,2010
"$9,363","$9,363",1,House of Representatives,55,Alabama,2008
"$165,776","$55,259",3,House of Representatives,55,Alabama,2006
"$122,975","$40,992",3,House of Representatives,55,Alabama,2002
"$668,459","$47,747",14,House of Representatives,55,Alabama,Total
"$102,986","$51,493",2,House of Representatives,56,Alabama,2018
"$244,604","$61,151",4,House of Representatives,56,Alabama,2014
$500,$500,1,House of Representatives,56,Alabama,2012
"$92,896","$23,224",4,House of Representatives,56,Alabama,2010
"$125,255","$41,752",3,House of Representatives,56,Alabama,2006
"$129,741","$64,871",2,House of Representatives,56,Alabama,2002
"$695,982","$43,499",16,House of Representatives,56,Alabama,Total
"$59,245","$59,245",1,House of Representatives,57,Alabama,2018
"$108,485","$108,485",1,House of Representatives,57,Alabama,2014
"$94,328","$31,443",3,House of Representatives,57,Alabama,2010
"$92,919","$18,584",5,House of Representatives,57,Alabama,2006
"$82,592","$27,531",3,House of Representatives,57,Alabama,2002
"$437,569","$33,659",13,House of Representatives,57,Alabama,Total
"$76,372","$38,186",2,House of Representatives,58,Alabama,2018
"$109,300","$109,300",1,House of Representatives,58,Alabama,2014
"$105,850","$105,850",1,House of Representatives,58,Alabama,2010
"$29,000","$29,000",1,House of Representatives,58,Alabama,2008
"$213,065","$42,613",5,House of Representatives,58,Alabama,2006
"$91,425","$45,713",2,House of Representatives,58,Alabama,2002
"$625,012","$52,084",12,House of Representatives,58,Alabama,Total
"$51,743","$25,872",2,House of Representatives,59,Alabama,2018
"$68,470","$22,823",3,House of Representatives,59,Alabama,2014
"$71,980","$35,990",2,House of Representatives,59,Alabama,2010
"$1,257","$1,257",1,House of Representatives,59,Alabama,2008
"$61,638","$30,819",2,House of Representatives,59,Alabama,2006
"$126,657","$31,664",4,House of Representatives,59,Alabama,2002
"$381,745","$27,268",14,House of Representatives,59,Alabama,Total
"$68,953","$34,476",2,House of Representatives,60,Alabama,2018
"$101,594","$50,797",2,House of Representatives,60,Alabama,2014
"$109,240","$21,848",5,House of Representatives,60,Alabama,2010
"$5,400","$5,400",1,House of Representatives,60,Alabama,2008
"$150,952","$30,190",5,House of Representatives,60,Alabama,2006
"$116,953","$29,238",4,House of Representatives,60,Alabama,2002
"$553,092","$29,110",19,House of Representatives,60,Alabama,Total
"$146,671","$73,335",2,House of Representatives,61,Alabama,2018
"$235,724","$117,862",2,House of Representatives,61,Alabama,2014
"$138,457","$69,229",2,House of Representatives,61,Alabama,2010
"$10,500","$10,500",1,House of Representatives,61,Alabama,2008
"$207,410","$69,137",3,House of Representatives,61,Alabama,2006
"$46,794","$46,794",1,House of Representatives,61,Alabama,2002
"$785,556","$71,414",11,House of Representatives,61,Alabama,Total
"$73,137","$36,568",2,House of Representatives,62,Alabama,2018
"$115,524","$57,762",2,House of Representatives,62,Alabama,2014
"$2,650","$2,650",1,House of Representatives,62,Alabama,2012
"$391,542","$97,886",4,House of Representatives,62,Alabama,2010
$400,$400,1,House of Representatives,62,Alabama,2008
"$89,683","$29,894",3,House of Representatives,62,Alabama,2006
"$258,451","$129,226",2,House of Representatives,62,Alabama,2002
